species,bill_length_mm,bill_depth_mm,body_mass_g,sex
Gentoo,47.5,14,4875,female
Gentoo,52.1,17,5550,male
Gentoo,47.5,15,4950,female
Gentoo,52.2,17.1,5400,male
Gentoo,45.5,14.5,4750,female
Gentoo,49.5,16.1,5650,male
Gentoo,44.5,14.7,4850,female
Gentoo,50.8,15.7,5200,male
Gentoo,49.4,15.8,4925,male
Gentoo,46.9,14.6,4875,female
Gentoo,48.4,14.4,4625,female
Gentoo,51.1,16.5,5250,male
Gentoo,48.5,15,4850,female
Gentoo,55.9,17,5600,male
Gentoo,47.2,15.5,4975,female
Gentoo,49.1,15,5500,male
Gentoo,46.8,16.1,5500,male
Gentoo,41.7,14.7,4700,female
Gentoo,53.4,15.8,5500,male
Gentoo,43.3,14,4575,female
Gentoo,48.1,15.1,5500,male
Gentoo,50.5,15.2,5000,female
Gentoo,49.8,15.9,5950,male
Gentoo,43.5,15.2,4650,female
Gentoo,51.5,16.3,5500,male
Gentoo,46.2,14.1,4375,female
Gentoo,55.1,16,5850,male
Gentoo,48.8,16.2,6000,male
Gentoo,47.2,13.7,4925,female
Gentoo,46.8,14.3,4850,female
Gentoo,50.4,15.7,5750,male
Gentoo,45.2,14.8,5200,female
Gentoo,49.9,16.1,5400,male
